"A","B",2,3,4,5,6,7,8,9,10
464,334,334,359,367,401,335,326,370,409,358
330,342,317,325,393,369,358,469,383,342,362
334,370,358,351,318,383,334,342,375,368,359
342,466,326,334,334,366,335,350,376,349,384
444,410,342,368,336,368,367,368,342,359,365
334,342,358,404,351,342,405,325,358,357,368
334,334,343,348,350,347,330,351,375,358,365
350,325,334,359,342,358,343,317,367,393,384
402,376,358,352,402,366,325,370,369,340,357
342,318,343,351,342,367,335,409,367,368,358
326,334,350,334,342,358,333,342,359,366,368
317,350,358,359,326,383,334,326,359,366,350
343,343,393,416,360,350,310,326,393,358,358
334,404,342,361,350,384,367,334,359,384,367
342,323,334,326,359,341,393,325,350,349,348
309,334,326,325,334,391,317,326,342,384,358
351,350,334,343,351,376,335,359,359,382,375
393,334,309,342,409,359,376,343,356,342,350
368,326,359,350,343,393,334,393,352,383,360
334,351,359,350,350,383,342,325,356,375,366
342,326,359,318,343,347,326,360,359,359,450
318,359,403,351,350,350,351,325,358,349,367
334,398,332,425,334,366,401,359,375,359,348
317,329,358,335,375,426,326,326,324,434,342
351,350,352,334,360,349,326,358,368,348,367
409,359,333,351,350,384,334,351,357,376,392
335,334,342,334,351,366,326,342,462,376,350
359,334,327,334,460,367,342,359,388,366,367
325,334,335,334,342,350,326,437,367,359,351
343,334,460,342,342,367,376,327,349,356,363
334,325,342,393,351,358,392,508,376,359,360
366,352,358,402,334,376,368,343,359,358,342
367,425,375,342,342,356,350,350,348,342,358
368,326,343,334,359,383,343,351,376,365,367
376,351,367,342,368,384,325,416,349,376,390
401,317,342,318,350,332,334,336,367,341,351
326,326,334,358,427,333,326,359,366,334,366
342,351,351,343,342,376,334,342,333,409,350
334,326,317,342,334,332,326,335,376,343,373
343,308,351,444,359,351,351,317,367,355,375
350,343,403,317,334,349,401,359,375,358,368
334,393,341,351,347,358,325,334,358,368,375
334,317,359,317,360,333,360,342,390,358,365
334,351,309,343,325,368,325,400,358,374,350
410,309,350,342,383,365,326,344,368,341,366
359,334,351,334,376,384,360,326,376,359,384
368,351,351,334,351,383,392,350,372,366,374
342,334,309,359,355,359,376,343,350,375,350
359,317,351,401,375,357,402,334,376,350,384
350,351,367,343,343,368,334,376,359,392,359
343,401,350,358,409,349,317,358,374,349,374
325,326,426,342,359,341,343,343,376,366,374
377,318,350,334,371,359,317,410,364,376,376
375,326,334,360,351,359,358,343,368,350,359
401,309,326,358,350,357,359,317,376,340,373
350,342,350,351,350,384,343,334,351,350,367
334,309,318,317,359,342,342,318,363,383,359
317,334,350,367,367,366,418,343,359,342,350
334,419,318,359,351,360,359,367,332,368,358
310,333,366,367,366,353,334,410,359,332,367
350,384,360,358,359,526,359,317,393,391,359
326,351,401,395,351,334,343,318,383,358,356
326,334,309,332,367,376,325,334,358,392,359
391,317,359,358,445,350,351,310,368,385,350
327,351,309,343,367,375,326,350,342,384,357
350,317,333,333,357,350,367,326,358,339,341
343,359,351,367,384,375,427,358,376,374,352
342,368,334,363,367,376,352,368,384,360,367
367,425,334,525,376,342,334,409,399,350,365
334,318,326,459,372,367,359,318,375,373,358
334,367,342,359,358,385,334,367,375,359,391
334,317,385,366,368,377,334,326,367,383,392
360,326,359,350,375,367,359,350,359,350,359
409,359,325,343,350,392,408,334,418,392,367
309,343,384,334,368,383,336,369,334,375,358
327,325,343,342,350,358,710,342,367,357,410
334,351,317,342,489,376,342,418,334,367,380
325,359,351,351,407,357,326,334,358,383,391
351,366,326,334,376,417,350,367,366,457,358
309,410,359,376,342,367,334,351,349,409,409
334,334,393,443,375,350,351,342,409,359,374
386,334,392,470,377,368,411,342,374,351,377
326,333,334,347,392,359,342,326,368,382,340
308,326,342,334,343,383,360,334,366,359,367
360,326,334,334,391,391,334,317,349,375,351
317,334,509,360,375,402,351,334,375,384,375
334,351,317,376,375,400,325,477,333,399,358
334,350,342,358,379,384,368,343,359,350,376
368,414,318,368,376,403,409,325,351,376,447
409,394,342,409,401,332,334,326,364,342,376
384,350,399,318,397,368,359,318,367,371,350
343,410,388,342,341,390,334,368,366,359,357
325,334,358,317,376,342,343,342,350,359,333
343,342,351,351,367,358,367,393,368,350,393
342,343,342,334,366,358,334,343,350,351,332
326,351,343,334,358,350,343,349,368,351,393
334,350,334,318,385,376,350,367,375,359,356
342,334,350,359,357,374,402,342,364,342,376
393,326,410,409,366,367,317,334,700,370,334